City,Colors_Reported,Shape_Reported,State,Time,Year,Month,Day,Hour
Birmingham,,,AL,1951-06-30 19:00:00,1951,6,30,19
Otis Orchards,,DISK,WA,1951-07-01 03:00:00,1951,7,1,3
Atlanta,,,GA,1951-07-01 14:00:00,1951,7,1,14
Calaveras County,,DISK,CA,1951-07-03 03:00:00,1951,7,3,3
Green River,GREEN,SPHERE,WY,1951-07-03 12:00:00,1951,7,3,12
Provo,BLUE,DISK,UT,1951-07-10 23:30:00,1951,7,10,23
Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00,1951,7,15,14
Sunland,,CIRCLE,CA,1951-08-10 01:00:00,1951,8,10,1
Altoona,,DISK,PA,1951-08-15 13:00:00,1951,8,15,13
Jacksonville,,DISK,FL,1951-10-15 20:00:00,1951,10,15,20
Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00,1951,11,15,6
Salt Lake City,,,UT,1952-01-01 00:00:00,1952,1,1,0
Binghamton,,DISK,NY,1952-02-10 21:00:00,1952,2,10,21
Nellis AFB,,DISK,NV,1952-02-17 18:00:00,1952,2,17,18
Chicago,,DISK,IL,1952-04-15 13:00:00,1952,4,15,13
Greenville,ORANGE,TRIANGLE,TX,1952-04-15 16:00:00,1952,4,15,16
Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00,1952,5,15,10
Allyn,,DISK,WA,1952-05-15 20:00:00,1952,5,15,20
Dousman,,,WI,1952-06-01 11:00:00,1952,6,1,11
Norfolk,RED,FIREBALL,VA,1952-06-01 22:00:00,1952,6,1,22
Evergreen,,DISK,CO,1952-06-06 13:00:00,1952,6,6,13
Chicago,,CIRCLE,IL,1952-06-10 12:00:00,1952,6,10,12
Fortville,,DISK,IN,1952-06-13 07:30:00,1952,6,13,7
Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00,1952,6,15,0
Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00,1952,6,15,0
Jacksonville,,TRIANGLE,FL,1952-06-15 21:00:00,1952,6,15,21
Maywood,,CIRCLE,CA,1952-06-15 23:00:00,1952,6,15,23
Lansing,,OTHER,MI,1952-06-21 22:00:00,1952,6,21,22
Chester,,OVAL,PA,1952-06-22 17:45:00,1952,6,22,17
Cheyenne,,DISK,WY,1952-06-30 00:00:00,1952,6,30,0
Pecos,,DISK,TX,1952-06-30 03:00:00,1952,6,30,3
Barksdale AFB,,,LA,1952-06-30 06:00:00,1952,6,30,6
Miami,,LIGHT,FL,1952-06-30 09:00:00,1952,6,30,9
New York City,,DISK,NY,1952-06-30 13:00:00,1952,6,30,13
Auburn,,OVAL,WA,1952-06-30 18:30:00,1952,6,30,18
Miami,,DISK,FL,1952-06-30 21:00:00,1952,6,30,21
Miami,,DISK,FL,1952-06-30 21:00:00,1952,6,30,21
Miami,,LIGHT,FL,1952-06-30 21:00:00,1952,6,30,21
Sebeka,,OTHER,MN,1952-07-01 15:00:00,1952,7,1,15
Detroit,,SPHERE,MI,1952-07-01 22:00:00,1952,7,1,22
Tacoma,,SPHERE,WA,1952-07-05 16:00:00,1952,7,5,16
Evergreen,,CIRCLE,CO,1952-07-07 10:00:00,1952,7,7,10
Arlington,,DISK,TX,1952-07-07 13:00:00,1952,7,7,13
Arlington,GREEN,OVAL,VA,1952-07-13 21:00:00,1952,7,13,21
Wilmington,,DISK,CA,1952-07-15 12:00:00,1952,7,15,12
Litchfield,,OTHER,PA,1952-07-15 13:00:00,1952,7,15,13
South Gate,,CIRCLE,CA,1952-07-15 14:00:00,1952,7,15,14
North Bend,,OTHER,WA,1952-07-15 18:30:00,1952,7,15,18
New York City,,OTHER,NY,1952-07-15 19:00:00,1952,7,15,19
Okolona,,OVAL,MS,1952-07-22 09:30:00,1952,7,22,9
Tacoma,,SPHERE,WA,1952-07-25 16:00:00,1952,7,25,16
Manville,,SPHERE,RI,1952-07-30 15:00:00,1952,7,30,15
Tampa,,OVAL,FL,1952-08-01 21:30:00,1952,8,1,21
Smithson's Valley,,CIGAR,TX,1952-08-15 17:00:00,1952,8,15,17
Prairie Grove,,DISK,AR,1952-08-15 17:30:00,1952,8,15,17
Hamilton,,LIGHT,OH,1952-08-15 22:15:00,1952,8,15,22
Philadelphia,,CIRCLE,PA,1952-09-09 20:00:00,1952,9,9,20
Norridgewock,,DISK,ME,1952-09-15 14:00:00,1952,9,15,14
Kansas City,,DISK,MO,1952-10-01 12:00:00,1952,10,1,12
Richland,,CIRCLE,WA,1952-10-15 21:00:00,1952,10,15,21
Chicago,,OTHER,IL,1952-12-06 19:00:00,1952,12,6,19
Camp McCoy,,CYLINDER,WI,1952-12-30 12:00:00,1952,12,30,12
Nebraska,,,NE,1953-01-01 00:00:00,1953,1,1,0
Oklahoma,,CIGAR,TX,1953-01-01 14:00:00,1953,1,1,14
Palm Springs,,,CA,1953-03-15 00:00:00,1953,3,15,0
Haverhill,,CHEVRON,MA,1953-04-01 15:00:00,1953,4,1,15
Cambridge,RED,SPHERE,MA,1953-04-01 18:00:00,1953,4,1,18
Chariton,,OTHER,IA,1953-04-10 13:00:00,1953,4,10,13
Los Angeles,,FIREBALL,CA,1953-04-15 12:00:00,1953,4,15,12
Midwest City,YELLOW,FIREBALL,OK,1953-04-15 16:00:00,1953,4,15,16
Jamison,,CIGAR,PA,1953-04-30 16:00:00,1953,4,30,16
Kingman,,,AZ,1953-05-20 08:00:00,1953,5,20,8
Fresno,,,CA,1953-06-01 21:00:00,1953,6,1,21
Roswell,,,NM,1953-06-15 00:00:00,1953,6,15,0
Wenatchee,,DISK,WA,1953-06-15 12:00:00,1953,6,15,12
Fort Worth,,SPHERE,TX,1953-06-15 13:00:00,1953,6,15,13
North Bend,,CIRCLE,WA,1953-06-15 18:00:00,1953,6,15,18
Galveston,,CIGAR,TX,1953-06-17 07:30:00,1953,6,17,7
Cleveland,RED,FIREBALL,OH,1953-06-30 00:00:00,1953,6,30,0
Kelso,,OVAL,WA,1953-06-30 15:00:00,1953,6,30,15
Colorado Springs,,DISK,CO,1953-07-01 05:30:00,1953,7,1,5
Ogallala,,OTHER,NE,1953-07-04 21:00:00,1953,7,4,21
Nashville,,CYLINDER,TN,1953-07-15 13:00:00,1953,7,15,13
Dublin,,CONE,IN,1953-07-17 22:00:00,1953,7,17,22
Berkeley,,FIREBALL,MO,1953-08-01 12:00:00,1953,8,1,12
"San Bernadino Mtns, Church Camp",,DISK,CA,1953-08-01 14:00:00,1953,8,1,14
Vallejo,,LIGHT,CA,1953-08-07 21:00:00,1953,8,7,21
Louisville,,CIRCLE,KY,1953-08-15 11:00:00,1953,8,15,11
Artesia,ORANGE,OTHER,NM,1953-08-15 19:00:00,1953,8,15,19
Bowleys Quarters,,SPHERE,MD,1953-08-15 21:00:00,1953,8,15,21
Homer,,,PA,1953-09-15 14:00:00,1953,9,15,14
Mauriceville,,DISK,TX,1953-10-15 14:00:00,1953,10,15,14
New Orleans,,OVAL,LA,1953-10-31 19:00:00,1953,10,31,19
Cicero,,OTHER,IL,1953-11-13 20:00:00,1953,11,13,20
Keansburg,,CIRCLE,NJ,1953-11-15 03:00:00,1953,11,15,3
Pendleton,GREEN,DISK,IN,1953-11-21 22:30:00,1953,11,21,22
Lackland Air Force Base,,DISK,TX,1953-11-25 04:25:00,1953,11,25,4
Brunswick,,,ME,1954-01-01 00:00:00,1954,1,1,0
Lakeland,,DISK,FL,1954-01-01 01:00:00,1954,1,1,1
Souix City,,CIRCLE,IA,1954-01-01 22:00:00,1954,1,1,22
Santa Monica,,LIGHT,CT,1954-01-15 20:00:00,1954,1,15,20
Fairbanks,,,AK,1954-02-01 02:00:00,1954,2,1,2
Burney,,DISK,CA,1954-02-15 19:30:00,1954,2,15,19
Stanford Campus,,DISK,CA,1954-04-01 22:00:00,1954,4,1,22
Corvallis,,DIAMOND,OR,1954-05-15 12:00:00,1954,5,15,12
Quincy,,DISK,IL,1954-05-26 04:30:00,1954,5,26,4
Houston,,DISK,TX,1954-06-01 00:00:00,1954,6,1,0
Ovid,,DISK,NY,1954-06-01 06:00:00,1954,6,1,6
Springfield,,CYLINDER,IL,1954-06-01 08:00:00,1954,6,1,8
El Cerrito,,LIGHT,CA,1954-06-01 19:00:00,1954,6,1,19
Toledo,,DISK,OH,1954-06-01 19:00:00,1954,6,1,19
Norfolk,,DISK,VA,1954-06-01 20:00:00,1954,6,1,20
Philadelphia,,DISK,PA,1954-06-01 20:00:00,1954,6,1,20
Fish Canyon,,LIGHT,CA,1954-06-01 23:00:00,1954,6,1,23
Atlanta,,DISK,GA,1954-06-06 10:00:00,1954,6,6,10
Estes Park,,CIGAR,CO,1954-06-10 20:00:00,1954,6,10,20
Glenburn,,,ME,1954-06-11 02:00:00,1954,6,11,2
Palm Beach,,LIGHT,CA,1954-06-15 11:00:00,1954,6,15,11
Claymont,,DISK,DE,1954-06-15 11:45:00,1954,6,15,11
Ellington AFB,,DISK,TX,1954-06-15 16:30:00,1954,6,15,16
Lorton,,OTHER,VA,1954-06-23 02:00:00,1954,6,23,2
Langley Air Force Base,,CIRCLE,VA,1954-06-23 23:00:00,1954,6,23,23
Thrifty,,CIRCLE,TX,1954-06-25 03:30:00,1954,6,25,3
Marion,,CIRCLE,VA,1954-06-30 00:00:00,1954,6,30,0
Methuen,,,MA,1954-06-30 00:00:00,1954,6,30,0
Hawthorne,,LIGHT,CA,1954-06-30 12:00:00,1954,6,30,12
Pasadena,,CIRCLE,CA,1954-06-30 15:00:00,1954,6,30,15
St. Louis Airport,RED,OVAL,MO,1954-07-01 21:00:00,1954,7,1,21
Los Angeles,RED,CIRCLE,CA,1954-07-01 22:00:00,1954,7,1,22
Walnut Creek,,,CA,1954-07-07 20:00:00,1954,7,7,20
West Columbia,,FORMATION,SC,1954-07-07 22:00:00,1954,7,7,22
Morroco,,VARIOUS,IN,1954-07-12 17:30:00,1954,7,12,17
Philadelphia,,DISK,PA,1954-07-15 11:00:00,1954,7,15,11
Greenfield,,CIGAR,IN,1954-07-15 14:00:00,1954,7,15,14
Kansas City,,CHEVRON,KS,1954-07-15 21:00:00,1954,7,15,21
Oakdale,,DISK,NY,1954-07-15 21:00:00,1954,7,15,21
Bridge Hampton,,LIGHT,NY,1954-07-15 22:00:00,1954,7,15,22
Farmingdale,,OVAL,NY,1954-08-01 12:00:00,1954,8,1,12
Dyer,,TRIANGLE,IN,1954-08-01 17:00:00,1954,8,1,17
Canton,,DISK,PA,1954-08-01 21:00:00,1954,8,1,21
North Hollywood,,LIGHT,CA,1954-08-01 22:00:00,1954,8,1,22
Puyallup,,OVAL,WA,1954-08-15 21:00:00,1954,8,15,21
Geneva,,DISK,NY,1954-09-01 13:00:00,1954,9,1,13
Beaumont,RED,DISK,TX,1954-09-09 12:30:00,1954,9,9,12
Palmer Township,,OTHER,PA,1954-09-15 09:30:00,1954,9,15,9
Flatwoods,,CIRCLE,WV,1954-10-01 19:00:00,1954,10,1,19
Blanco,,OTHER,TX,1954-10-15 16:30:00,1954,10,15,16
Manistee,,CIRCLE,MI,1954-10-15 21:30:00,1954,10,15,21
Denver,,FIREBALL,CO,1954-11-01 18:30:00,1954,11,1,18
Thelma,,DISK,TX,1954-11-14 01:00:00,1954,11,14,1
Red Bank,ORANGE,CIRCLE,NJ,1954-12-15 23:10:00,1954,12,15,23
Yucaipa,,OVAL,CA,1954-12-16 16:50:00,1954,12,16,16
New York City,,LIGHT,NY,1955-02-15 19:00:00,1955,2,15,19
Holbrook,YELLOW,EGG,MA,1955-05-01 15:00:00,1955,5,1,15
Warrington,,FIREBALL,FL,1955-05-15 03:00:00,1955,5,15,3
Homaland,,CIRCLE,CA,1955-06-01 00:00:00,1955,6,1,0
Bagley,,CIRCLE,MN,1955-06-01 02:00:00,1955,6,1,2
Cincinnati,,DISK,OH,1955-06-01 15:29:00,1955,6,1,15
Martinez,,CIRCLE,CA,1955-06-01 17:00:00,1955,6,1,17
Clinton,,EGG,TN,1955-06-01 20:30:00,1955,6,1,20
Pensacola,,LIGHT,FL,1955-06-06 01:00:00,1955,6,6,1
South St. Paul,,DISK,MN,1955-06-15 00:00:00,1955,6,15,0
Terre Haute,ORANGE,CIRCLE,IN,1955-06-15 00:00:00,1955,6,15,0
Missouri,,LIGHT,MO,1955-06-15 04:30:00,1955,6,15,4
Youngstown,,,PA,1955-06-15 08:00:00,1955,6,15,8
Daytona Beach,,FIREBALL,FL,1955-06-15 21:00:00,1955,6,15,21
Rantoul,,LIGHT,IL,1955-06-17 07:00:00,1955,6,17,7
Beach Haven Park,,DISK,NJ,1955-06-23 07:00:00,1955,6,23,7
Quartz Hill,,DISK,CA,1955-06-30 00:00:00,1955,6,30,0
Lubbock,,CIGAR,TX,1955-06-30 13:00:00,1955,6,30,13
Dumas,,LIGHT,TX,1955-06-30 21:00:00,1955,6,30,21
Morehead City,,DISK,NC,1955-06-30 21:00:00,1955,6,30,21
Carnation,,DISK,WA,1955-07-01 14:00:00,1955,7,1,14
Dierks,,CIGAR,AR,1955-07-01 22:00:00,1955,7,1,22
Woodland Park,,OVAL,CO,1955-07-15 14:00:00,1955,7,15,14
Ringold,,LIGHT,LA,1955-07-15 22:00:00,1955,7,15,22
Newtown Square,,CIRCLE,PA,1955-08-06 19:00:00,1955,8,6,19
Independence,,FIREBALL,MO,1955-08-08 01:00:00,1955,8,8,1
Madisonville,,LIGHT,KY,1955-08-14 01:00:00,1955,8,14,1
Eagle Pass,,CIGAR,TX,1955-08-15 00:01:00,1955,8,15,0
Covina,,DISK,CA,1955-08-17 21:00:00,1955,8,17,21
Bullhead,,DISK,AZ,1955-09-10 23:00:00,1955,9,10,23
Mono Lake,,CIRCLE,CA,1955-10-01 22:00:00,1955,10,1,22
West Covina,GREEN,,CA,1955-10-09 18:00:00,1955,10,9,18
Rhinebeck,,LIGHT,NY,1955-10-15 20:00:00,1955,10,15,20
Weirton,,DISK,WV,1956-01-01 05:30:00,1956,1,1,5
Petaluma,,OVAL,CA,1956-03-01 13:00:00,1956,3,1,13
Bowie,,DISK,MD,1956-03-20 20:00:00,1956,3,20,20
Hampton,,SPHERE,MN,1956-03-22 17:30:00,1956,3,22,17
Canton,,CIGAR,OH,1956-05-01 12:00:00,1956,5,1,12
Pine castle AFB,,LIGHT,FL,1956-05-15 20:00:00,1956,5,15,20
Ada,,CIRCLE,OK,1956-05-17 10:22:00,1956,5,17,10
Belton,,OTHER,MO,1956-06-01 19:00:00,1956,6,1,19
Memphis,ORANGE,CYLINDER,TN,1956-06-01 20:00:00,1956,6,1,20
Elmore,,SPHERE,AL,1956-06-05 00:00:00,1956,6,5,0
Salt Lake City,,CIRCLE,UT,1956-06-05 00:00:00,1956,6,5,0
Upper Glade,,EGG,WV,1956-06-06 12:00:00,1956,6,6,12
Akron,,OTHER,OH,1956-06-06 22:00:00,1956,6,6,22
Edroy,,,TX,1956-06-15 01:00:00,1956,6,15,1
San Francisco,,OTHER,CA,1956-06-15 12:15:00,1956,6,15,12
Palo Alto,,FIREBALL,CA,1956-06-15 18:00:00,1956,6,15,18
Richfield Springs,,CIGAR,NY,1956-06-15 18:00:00,1956,6,15,18
Vista,ORANGE,CIGAR,CA,1956-06-15 19:15:00,1956,6,15,19
Farragut,,CIGAR,TN,1956-06-15 20:00:00,1956,6,15,20
Tulsa,,FLASH,OK,1956-06-15 20:00:00,1956,6,15,20
Salem,,DISK,NJ,1956-06-15 20:32:00,1956,6,15,20
New York City,,LIGHT,NY,1956-06-15 21:00:00,1956,6,15,21
Cincinnati,,DISK,OH,1956-06-16 13:00:00,1956,6,16,13
Madera,,SPHERE,CA,1956-06-24 14:00:00,1956,6,24,14
Willow Grove,,LIGHT,PA,1956-06-30 01:00:00,1956,6,30,1
Cape Girardeau,,DIAMOND,MO,1956-06-30 13:00:00,1956,6,30,13
New Brunswick,,DISK,NJ,1956-06-30 16:00:00,1956,6,30,16
Houston,,TRIANGLE,TX,1956-06-30 18:30:00,1956,6,30,18
Beatrice,,OTHER,NE,1956-07-01 16:00:00,1956,7,1,16
Wichita,,,KS,1956-07-12 19:00:00,1956,7,12,19
